trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R
1,Long,2021-11-19,signal bar close,2021-11-22,161.67999267578125,2.887555456084522,154.46110403556995,2,1,2021-11-26,158.22642797477334,ATR_STOP,4,True,False,-0.021360495159926107,2021-11-26,INTRABAR_STOP,TRAILING_STOP,True,True,0.024863956299913337,,0.024863956299913337,0.024863956299913337,-0.03290445513625129,-0.021360495159926107,2021-11-22,0,-0.8590947837211473,0.046224451459839444,20,True,16,0.12648449488762603,0.04464923903532965,-0.47840670124353446,0.5568730136753105
2,Long,2021-12-07,signal bar close,2021-12-08,172.1300048828125,4.241847101937706,161.52538712796823,2,1,2021-12-16,171.03877881320918,ATR_STOP,7,True,False,-0.006339545916740352,2021-12-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.05809562375140853,-0.008307720292832554,0.05809562375140853,0.05809562375140853,-0.008307720292832554,-0.008307720292832554,2021-12-13,3,-0.10912260696033321,0.06443516966814888,20,True,13,0.06280135509177076,0.06160818831129401,-0.10290102810210679,0.9429854268374654
3,Long,2022-01-31,signal bar close,2022-02-01,174.00999450683594,5.1647134271113275,161.09821093905762,2,1,2022-02-22,164.97999572753906,ATR_STOP,15,True,False,-0.051893563958144595,2022-02-22,OPEN,TRAILING_STOP,False,True,0.015171538836780574,-0.051893563958144595,0.015171538836780574,0.015171538836780574,-0.051893563958144595,-0.051893563958144595,2022-02-09,6,-3.4204548738548723,0.06706510279492517,20,True,6,0.0,0.07420139058317755,-0.6993610705984472,0.20446434652425724
4,Long,2022-08-17,signal bar close,2022-08-18,173.75,3.53191329892339,164.92021675269152,2,1,2022-08-24,166.54943735777525,ATR_STOP,5,True,False,-0.04144208714949493,2022-08-24,INTRABAR_STOP,TRAILING_STOP,True,True,0.006618669907823671,,0.006618669907823671,0.006618669907823671,-0.043165467625899234,-0.04144208714949493,2022-08-18,0,-6.2613920510687295,0.048060757057318604,20,True,15,0.0,0.05081889638738696,-0.8154857758733361,0.13024033141865704
5,Long,2023-03-31,signal bar close,2023-04-03,164.27000427246094,3.2782663937169576,156.07433828816855,2,1,2023-06-06,177.5555314525466,ATR_STOP,45,True,False,0.08087616019081656,2023-06-06,INTRABAR_STOP,TRAILING_STOP,True,True,0.12589025468996207,-0.027333081977138463,0.12589025468996207,0.12589025468996207,-0.027333081977138463,-0.027333081977138463,2023-06-05,43,0.6424338435885718,0.04501409449914551,20,True,0,,0.049891433439661466,1.6210430251243015,2.5232839790464894
6,Long,2023-06-15,signal bar close,2023-06-16,186.72999572753906,2.808004328740411,179.70998490568803,2,1,2023-07-10,187.69628948855154,ATR_STOP,15,True,False,0.0051748180962978285,2023-07-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.04150377645436332,-0.02217104634698963,0.04150377645436332,0.04150377645436332,-0.02217104634698963,-0.02217104634698963,2023-06-30,9,0.12468306593709491,0.03632895835806549,20,True,5,0.04064698639930575,0.03759444643320214,0.1376484717095769,1.1039869021108553
7,Long,2023-07-19,signal bar close,2023-07-20,195.08999633789062,2.86963773026231,187.91590201223485,2,1,2023-08-04,185.52000427246094,ATR_STOP,12,True,False,-0.04905424288826532,2023-08-04,OPEN,TRAILING_STOP,False,True,0.010815524373156915,-0.04905424288826532,0.010815524373156915,0.010815524373156915,-0.04905424288826532,-0.04905424288826532,2023-07-27,5,-4.535539951258693,0.059869767261422235,20,True,9,0.0,0.03677325572978347,-1.3339651851531658,0.2941138650499522
8,Long,2023-11-06,signal bar close,2023-11-07,179.17999267578125,3.3726355360973272,170.74840383553794,2,1,2023-12-27,192.49000549316406,ATR_STOP,35,True,False,0.0742829186373879,2023-12-27,OPEN,TRAILING_STOP,False,True,0.11407524989908668,-0.0011719581630863507,0.11407524989908668,0.11407524989908668,-0.0011719581630863507,-0.0011719581630863507,2023-12-14,26,0.6511747175929932,0.03979233126169879,20,True,0,,0.047056530778522336,1.5785889314069939,2.4242171705346625
9,Long,2024-01-19,signal bar close,2024-01-22,192.3000030517578,3.3391261108782633,183.95218777456216,2,1,2024-01-30,188.55600898388124,ATR_STOP,7,True,False,-0.019469547625898254,2024-01-30,INTRABAR_STOP,TRAILING_STOP,True,True,0.02121685785910543,,0.02121685785910543,0.02121685785910543,-0.025117013803451105,-0.019469547625898254,2024-01-24,2,-0.917645193043639,0.040686405485003685,20,True,13,0.0,0.043410375167538734,-0.44849987015217335,0.4887508522379899
10,Long,2024-06-05,signal bar close,2024-06-06,195.69000244140625,3.030991001601436,188.11252493740267,2,1,2024-06-21,208.79357787027476,ATR_STOP,11,True,False,0.06696088336343098,2024-06-21,INTRABAR_STOP,TRAILING_STOP,True,True,0.12524908887041764,-0.01808987940496265,0.12524908887041764,0.12524908887041764,-0.01808987940496265,-0.01808987940496265,2024-06-12,4,0.534621720344078,0.05828820550698666,20,True,9,0.15718735818425955,0.03872184275879111,1.729279357404257,3.234584925377345
